asset_id,asset_class,date,open,high,low,close,volume,time_gap,is_abnormal_gap_gt_1h,is_price_violation,is_duplicate_timestamp,has_missing
^FCHI,index,2026-02-17 09:00:00,8310.89,8331.06,8310.89,8324.28,0.0,0 days 15:30:00,1,0,0,0
^FCHI,index,2026-02-18 09:00:00,8370.48,8386.85,8365.63,8386.85,0.0,0 days 15:30:00,1,0,0,0
^FCHI,index,2026-02-19 09:00:00,8412.25,8415.88,8402.59,8405.9,0.0,0 days 15:30:00,1,0,0,0
^FCHI,index,2026-02-20 09:00:00,8442.18,8443.74,8431.69,8431.69,0.0,0 days 15:30:00,1,0,0,0
^FCHI,index,2026-02-23 09:00:00,8496.34,8499.47,8490.32,8492.55,0.0,2 days 15:30:00,1,0,0,0
^FCHI,index,2026-02-24 09:00:00,8471.44,8482.35,8462.23,8474.94,0.0,0 days 15:30:00,1,0,0,0
^FCHI,index,2026-02-25 09:00:00,8539.62,8553.07,8537.8,8551.41,0.0,0 days 15:30:00,1,0,0,0
^FCHI,index,2026-02-26 09:00:00,8568.76,8580.46,8562.86,8574.26,0.0,0 days 15:30:00,1,0,0,0
^FCHI,index,2026-02-27 09:00:00,8609.46,8615.96,8602.34,8615.96,0.0,0 days 15:30:00,1,0,0,0
^FCHI,index,2026-03-02 09:00:00,8404.95,8410.24,8390.09,8391.92,0.0,2 days 15:35:00,1,0,0,0
^FCHI,index,2026-03-03 09:00:00,8292.42,8298.31,8274.71,8278.68,0.0,0 days 15:30:00,1,0,0,0
^FCHI,index,2026-03-04 09:00:00,8122.6,8132.93,8120.28,8124.57,0.0,0 days 15:35:00,1,0,0,0
^FCHI,index,2026-03-05 09:00:00,8135.07,8138.7,8126.83,8131.44,0.0,0 days 15:30:00,1,0,0,0
^FCHI,index,2026-03-06 09:00:00,8083.67,8083.67,8058.39,8066.67,0.0,0 days 15:30:00,1,0,0,0
^FCHI,index,2026-03-09 09:00:00,7809.74,7812.66,7800.38,7800.38,0.0,2 days 15:30:00,1,0,0,0
^FCHI,index,2026-03-10 09:00:00,8064.82,8074.2,8062.36,8064.18,0.0,0 days 15:30:00,1,0,0,0
^GSPC,index,2026-02-05 09:30:00,6826.16,6827.75,6806.92,6826.37,110106227.0,0 days 17:35:00,1,0,0,0
^GSPC,index,2026-02-06 09:30:00,6833.32,6867.19,6830.55,6860.92,96873280.0,0 days 17:35:00,1,0,0,0
^GSPC,index,2026-02-09 09:30:00,6917.26,6924.59,6905.87,6921.1,171213326.0,2 days 17:35:00,1,0,0,0
^GSPC,index,2026-02-10 09:30:00,6972.99,6977.63,6970.95,6972.61,150986168.0,0 days 17:35:00,1,0,0,0
^GSPC,index,2026-02-11 09:30:00,6982.9,6993.48,6982.34,6982.74,180537510.0,0 days 17:35:00,1,0,0,0
^GSPC,index,2026-02-12 09:30:00,6957.54,6971.8,6957.54,6969.42,167020442.0,0 days 17:35:00,1,0,0,0
^GSPC,index,2026-02-13 09:30:00,6832.34,6845.3,6827.58,6830.98,168528792.0,0 days 17:35:00,1,0,0,0
^GSPC,index,2026-02-17 09:30:00,6819.86,6837.7,6816.11,6834.65,62703989.0,3 days 17:35:00,1,0,0,0
^GSPC,index,2026-02-18 09:30:00,6859.82,6862.33,6849.66,6853.39,137282279.0,0 days 17:35:00,1,0,0,0
^GSPC,index,2026-02-19 09:30:00,6854.81,6862.43,6853.99,6857.14,139103941.0,0 days 17:35:00,1,0,0,0
^GSPC,index,2026-02-20 09:30:00,6841.74,6852.08,6836.33,6850.81,157793497.0,0 days 17:35:00,1,0,0,0
^GSPC,index,2026-02-23 09:30:00,6893.51,6914.72,6893.51,6910.41,80648117.0,2 days 17:35:00,1,0,0,0
^GSPC,index,2026-02-24 09:30:00,6837.37,6839.64,6821.99,6823.25,166528599.0,0 days 17:35:00,1,0,0,0
^GSPC,index,2026-02-25 09:30:00,6915.15,6929.56,6915.15,6925.22,162671434.0,0 days 17:35:00,1,0,0,0
^GSPC,index,2026-02-26 09:30:00,6946.45,6946.88,6935.43,6937.0,176769719.0,0 days 17:35:00,1,0,0,0
^GSPC,index,2026-02-27 09:30:00,6843.74,6856.82,6843.74,6852.51,195100773.0,0 days 17:35:00,1,0,0,0
^GSPC,index,2026-03-02 09:30:00,6824.36,6829.27,6796.85,6827.2,88861440.0,2 days 17:35:00,1,0,0,0
^GSPC,index,2026-03-03 09:30:00,6800.26,6800.26,6759.31,6759.52,69318862.0,0 days 17:35:00,1,0,0,0
^GSPC,index,2026-03-04 09:30:00,6830.67,6848.04,6830.67,6843.93,79335894.0,0 days 17:35:00,1,0,0,0
^GSPC,index,2026-03-05 09:30:00,6851.08,6856.62,6835.49,6856.62,162845358.0,0 days 17:35:00,1,0,0,0
